nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-22 18:21:07
Jantar secreto,"R$ 23,51",#2,books,Amazon,2024-11-22 18:21:07
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#3,books,Amazon,2024-11-22 18:21:08
Maus,"R$ 30,02",#4,books,Amazon,2024-11-22 18:21:08
A revolução dos bichos: Um conto de fadas,"R$ 7,52",#5,books,Amazon,2024-11-22 18:21:08
1984,"R$ 8,48",#6,books,Amazon,2024-11-22 18:21:08
"Amor, teoricamente","R$ 29,05",#7,books,Amazon,2024-11-22 18:21:09
O Hobbit + pôster,"R$ 29,43",#8,books,Amazon,2024-11-22 18:21:09
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#9,books,Amazon,2024-11-22 18:21:09
A hora da estrela: Edição comemorativa,"R$ 18,24",#10,books,Amazon,2024-11-22 18:21:09
A hipótese do amor,"R$ 29,13",#11,books,Amazon,2024-11-22 18:21:09
Ainda estou aqui - O livro que deu origem ao filme,"R$ 58,12",#12,books,Amazon,2024-11-22 18:21:09
É Assim que Acaba: 1,"R$ 29,90",#13,books,Amazon,2024-11-22 18:21:10
Até o verão terminar,"R$ 25,78",#14,books,Amazon,2024-11-22 18:21:10
Conhecendo os Sons da Fazenda. Vaquinha,"R$ 22,99",#15,books,Amazon,2024-11-22 18:21:10
A paciente silenciosa,"R$ 28,44",#16,books,Amazon,2024-11-22 18:21:10
Fisher-Price - Kit Coleção Hora de…,"R$ 26,10",#17,books,Amazon,2024-11-22 18:21:11
Powerless: 1,"R$ 36,61",#18,books,Amazon,2024-11-22 18:21:11
A Biblioteca da Meia-Noite,"R$ 30,64",#19,books,Amazon,2024-11-22 18:21:11
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#20,books,Amazon,2024-11-22 18:21:11
Noiva,"R$ 30,78",#21,books,Amazon,2024-11-22 18:21:11
Os sete maridos de Evelyn Hugo,"R$ 25,14",#22,books,Amazon,2024-11-22 18:21:11
Imperfeitos,"R$ 16,89",#23,books,Amazon,2024-11-22 18:21:11
Olhos D'Água,"R$ 16,63",#24,books,Amazon,2024-11-22 18:21:12
Oração para Desaparecer,"R$ 30,80",#25,books,Amazon,2024-11-22 18:21:12
Quarta asa: Edição Especial Limitada,"R$ 134,90",#26,books,Amazon,2024-11-22 18:21:12
As extraordinárias viagens de Júlio Verne - Box com 6 livros,"R$ 42,95",#27,books,Amazon,2024-11-22 18:21:12
Confesse,"R$ 46,00",#28,books,Amazon,2024-11-22 18:21:13
Melhor do que nos filmes,"R$ 34,90",#29,books,Amazon,2024-11-22 18:21:13
Como fazer amigos e influenciar pessoas,"R$ 28,00",#30,books,Amazon,2024-11-22 18:21:13
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 31,64",#31,books,Amazon,2024-11-22 18:21:13
"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 57,00",#32,books,Amazon,2024-11-22 18:21:13
