nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-28 22:08:55
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#2,books,Amazon,2024-11-28 22:08:55
Tudo é rio,"R$ 29,99",#3,books,Amazon,2024-11-28 22:08:55
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#4,books,Amazon,2024-11-28 22:08:55
A Biblioteca da Meia-Noite,"R$ 30,64",#5,books,Amazon,2024-11-28 22:08:55
O Hobbit + pôster,"R$ 29,43",#6,books,Amazon,2024-11-28 22:08:56
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 29,41",#7,books,Amazon,2024-11-28 22:08:56
"Amor, teoricamente","R$ 29,05",#8,books,Amazon,2024-11-28 22:08:56
Como fazer amigos e influenciar pessoas,"R$ 31,64",#9,books,Amazon,2024-11-28 22:08:56
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 74,83",#10,books,Amazon,2024-11-28 22:08:56
É Assim que Acaba: 1,"R$ 27,85",#11,books,Amazon,2024-11-28 22:08:56
Maus,"R$ 48,06",#12,books,Amazon,2024-11-28 22:08:56
Cem anos de solidão,"R$ 29,90",#13,books,Amazon,2024-11-28 22:08:56
Aprendiz do Vilão,"R$ 29,35",#14,books,Amazon,2024-11-28 22:08:56
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#15,books,Amazon,2024-11-28 22:08:57
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 36,68",#16,books,Amazon,2024-11-28 22:08:57
Véspera,"R$ 30,70",#17,books,Amazon,2024-11-28 22:08:57
A paciente silenciosa,"R$ 28,44",#18,books,Amazon,2024-11-28 22:08:57
Imperfeitos,"R$ 16,89",#19,books,Amazon,2024-11-28 22:08:57
A hora da estrela: Edição comemorativa,"R$ 24,17",#20,books,Amazon,2024-11-28 22:08:57
Quarta asa: 1,"R$ 69,30",#21,books,Amazon,2024-11-28 22:08:57
Um dia muito mal-humorado,"R$ 19,00",#22,books,Amazon,2024-11-28 22:08:57
Fisher-Price - Kit Coleção Como é Bom,"R$ 29,78",#23,books,Amazon,2024-11-28 22:08:58
