nome,preco,classificado,categoria,site,data_raspagem
Ainda estou aqui - O livro que deu origem ao filme,"R$ 57,82",#1,books,Amazon,2024-11-21 18:58:48
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#2,books,Amazon,2024-11-21 18:58:49
Verity,"R$ 34,70",#3,books,Amazon,2024-11-21 18:58:49
Como fazer amigos e influenciar pessoas,"R$ 28,00",#4,books,Amazon,2024-11-21 18:58:49
Os sete maridos de Evelyn Hugo,"R$ 25,14",#5,books,Amazon,2024-11-21 18:58:49
Noiva,"R$ 40,38",#6,books,Amazon,2024-11-21 18:58:50
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#7,books,Amazon,2024-11-21 18:58:50
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#8,books,Amazon,2024-11-21 18:58:50
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 19,90",#9,books,Amazon,2024-11-21 18:58:50
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#10,books,Amazon,2024-11-21 18:58:50
O Deus que destrói sonhos,"R$ 20,90",#11,books,Amazon,2024-11-21 18:58:50
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#12,books,Amazon,2024-11-21 18:58:51
Fisher-Price - Kit Coleção Como é Bom,"R$ 31,35",#13,books,Amazon,2024-11-21 18:58:51
Como ser um educador antirracista: Para familiares e professores - Finalista do Prêmio Jabuti 2024,"R$ 40,20",#14,books,Amazon,2024-11-21 18:58:51
Verity (Edição de colecionador),"R$ 47,50",#15,books,Amazon,2024-11-21 18:58:51
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 32,90",#16,books,Amazon,2024-11-21 18:58:51
O homem mais rico da Babilônia,"R$ 24,40",#17,books,Amazon,2024-11-21 18:58:51
O Morro dos Ventos Uivantes - Edição de Luxo Almofadada,"R$ 20,93",#18,books,Amazon,2024-11-21 18:58:52
A hora da estrela: Edição comemorativa,"R$ 23,27",#19,books,Amazon,2024-11-21 18:58:52
O diário de uma princesa desastrada 3: A maldição das princesas,"R$ 53,65",#20,books,Amazon,2024-11-21 18:58:52
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,85",#21,books,Amazon,2024-11-21 18:58:52
Depois daquele verão,"R$ 24,90",#22,books,Amazon,2024-11-21 18:58:52
Em Nome do Povo: Como o Casamento Entre Estado e Moeda te Deixa Mais Pobre,"R$ 41,90",#23,books,Amazon,2024-11-21 18:58:52
Como falar em público e encantar as pessoas,"R$ 25,18",#24,books,Amazon,2024-11-21 18:58:52
Manual de persuasão do FBI,"R$ 28,49",#25,books,Amazon,2024-11-21 18:58:53
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 45,22",#26,books,Amazon,2024-11-21 18:58:53
Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,"R$ 32,87",#27,books,Amazon,2024-11-21 18:58:53
"Murdle: Volume 1: 100 mistérios, de básicos a impossíveis, para solucionar usando a lógica, a habilidade e o poder de dedução","R$ 39,45",#28,books,Amazon,2024-11-21 18:58:53
A Biblioteca da Meia-Noite,"R$ 41,90",#29,books,Amazon,2024-11-21 18:58:53
Minhas 100 primeiras palavras,"R$ 16,20",#30,books,Amazon,2024-11-21 18:58:53
O Príncipe - Edição de Luxo Almofadada,"R$ 30,76",#31,books,Amazon,2024-11-21 18:58:54
Um dia muito mal-humorado,"R$ 20,51",#32,books,Amazon,2024-11-21 18:58:54
Diário de um Banana 19: Baita lambança,"R$ 48,91",#33,books,Amazon,2024-11-21 18:58:54
Não é como nos filmes: (Melhor do que nos filmes – vol. 2),"R$ 53,67",#34,books,Amazon,2024-11-21 18:58:54
Meu Livro Fofinho: Bíblia do Bebê,"R$ 10,00",#35,books,Amazon,2024-11-21 18:58:54
Salvar o fogo - Prêmio Jabuti 2024 Romance literário - 2ª EDIÇÃO BROCHURA,"R$ 50,85",#36,books,Amazon,2024-11-21 18:58:54
Nada pode me ferir,"R$ 39,45",#37,books,Amazon,2024-11-21 18:58:55
É assim que começa (Vol. 2 É assim que acaba),"R$ 42,24",#38,books,Amazon,2024-11-21 18:58:55
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 39,45",#39,books,Amazon,2024-11-21 18:58:55
A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,"R$ 33,01",#40,books,Amazon,2024-11-21 18:58:55
Quarta asa: 1,"R$ 57,40",#41,books,Amazon,2024-11-21 18:58:55
Essencialismo: A disciplinada busca por menos,"R$ 39,45",#42,books,Amazon,2024-11-21 18:58:55
Melhor do que nos filmes,"R$ 39,45",#43,books,Amazon,2024-11-21 18:58:56
Tudo é rio,"R$ 45,40",#44,books,Amazon,2024-11-21 18:58:56
Perigoso!,"R$ 21,53",#45,books,Amazon,2024-11-21 18:58:56
A Menina do Outro lado: Vol. 2,"R$ 40,54",#46,books,Amazon,2024-11-21 18:58:56
As 48 leis do poder,"R$ 63,42",#47,books,Amazon,2024-11-21 18:58:56
Wicked,"R$ 49,31",#48,books,Amazon,2024-11-21 18:58:57
É Assim que Acaba: 1,"R$ 38,92",#49,books,Amazon,2024-11-21 18:58:57
O pobre de direita: A vingança dos bastardos,"R$ 58,66",#50,books,Amazon,2024-11-21 18:58:57
O Pequeno Príncipe - Edição de Luxo Almofadada,"R$ 27,45",#51,books,Amazon,2024-11-21 18:59:18
"A coragem de ser imperfeito: Como aceitar a própria vulnerabilidade, vencer a vergonha e ousar ser quem você é","R$ 32,87",#52,books,Amazon,2024-11-21 18:59:18
Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,"R$ 31,11",#53,books,Amazon,2024-11-21 18:59:18
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 36,17",#54,books,Amazon,2024-11-21 18:59:18
A gente mira no amor e acerta na solidão,"R$ 31,20",#55,books,Amazon,2024-11-21 18:59:18
A Menina do Outro Lado: 1,"R$ 40,78",#56,books,Amazon,2024-11-21 18:59:18
Confissões de Santo Agostinho - Edição de Luxo Almofadada,"R$ 33,16",#57,books,Amazon,2024-11-21 18:59:19
O segredo da empregada (A empregada – Livro 2),"R$ 32,81",#58,books,Amazon,2024-11-21 18:59:19
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 71,90",#59,books,Amazon,2024-11-21 18:59:19
Não Começou com Você: Como o Trauma Familiar Herdado nos Define e Como dar um fim a Esse Ciclo,"R$ 36,50",#60,books,Amazon,2024-11-21 18:59:19
Nada mais será como antes,"R$ 68,30",#61,books,Amazon,2024-11-21 18:59:19
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 32,05",#62,books,Amazon,2024-11-21 18:59:20
As aventuras de priminha irritante no reino dos unicórnios: 1,"R$ 45,90",#63,books,Amazon,2024-11-21 18:59:20
Elayne Baeta,"R$ 62,00",#64,books,Amazon,2024-11-21 18:59:20
As armas da persuasão: Como influenciar e não se deixar influenciar,"R$ 36,17",#65,books,Amazon,2024-11-21 18:59:20
Olhos D'Água,"R$ 20,50",#66,books,Amazon,2024-11-21 18:59:20
O Show da Luna - Descobrindo os dinossauros,"R$ 1,90",#67,books,Amazon,2024-11-21 18:59:20
Patrulha Canina - Verdadeiros campeões,"R$ 1,90",#68,books,Amazon,2024-11-21 18:59:21
Um defeito de cor,"R$ 61,83",#69,books,Amazon,2024-11-21 18:59:21
"Sempre Paris – Vencedor Jabuti 2024: Crônica de uma cidade, seus escritores e artistas","R$ 60,81",#70,books,Amazon,2024-11-21 18:59:21
"Amor, teoricamente","R$ 37,36",#71,books,Amazon,2024-11-21 18:59:21
Forte: Devocionais para uma vida poderosa e apaixonada,"R$ 34,15",#72,books,Amazon,2024-11-21 18:59:21
Sociedade do cansaço,"R$ 29,36",#73,books,Amazon,2024-11-21 18:59:22
Outlive: A arte e a ciência de viver mais e melhor,"R$ 52,63",#74,books,Amazon,2024-11-21 18:59:22
Virando o jogo: 1,"R$ 28,32",#75,books,Amazon,2024-11-21 18:59:22
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 31,58",#76,books,Amazon,2024-11-21 18:59:22
Em agosto nos vemos,"R$ 44,84",#77,books,Amazon,2024-11-21 18:59:22
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 60,21",#78,books,Amazon,2024-11-21 18:59:23
Jantar secreto,"R$ 38,81",#79,books,Amazon,2024-11-21 18:59:23
A paciente silenciosa,"R$ 39,90",#80,books,Amazon,2024-11-21 18:59:23
Torto arado,"R$ 47,67",#81,books,Amazon,2024-11-21 18:59:23
O despertar da lua caída – Edição especial em capa dura com pintura trilateral,"R$ 60,64",#82,books,Amazon,2024-11-21 18:59:23
Feliz ano velho,"R$ 54,60",#83,books,Amazon,2024-11-21 18:59:24
Divinos rivais (Sucesso no TikTok): 1- Idioma : Português,"R$ 31,80",#84,books,Amazon,2024-11-21 18:59:24
A Menina do Outro Lado: Vol. 3,"R$ 27,28",#85,books,Amazon,2024-11-21 18:59:24
Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,"R$ 33,17",#86,books,Amazon,2024-11-21 18:59:24
Todas as suas (im)perfeições,"R$ 39,63",#87,books,Amazon,2024-11-21 18:59:24
Onde Está a Bluey?: Um Livro de Esconde-Esconde,"R$ 17,38",#88,books,Amazon,2024-11-21 18:59:25
O poder do subconsciente,"R$ 30,78",#89,books,Amazon,2024-11-21 18:59:25
"Bíblia NVI, Capa Dura, Azul, Econômica, Tulipa","R$ 36,79",#90,books,Amazon,2024-11-21 18:59:25
O pacto da branquitude,"R$ 26,34",#91,books,Amazon,2024-11-21 18:59:25
O lado feio do amor,"R$ 39,90",#92,books,Amazon,2024-11-21 18:59:25
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 46,77",#93,books,Amazon,2024-11-21 18:59:26
"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja","R$ 34,93",#94,books,Amazon,2024-11-21 18:59:26
"Em Busca De Sentido: Um psicólogo no campo de concentração -o número de edições pode variar, mas o conteúdo é o mesmo","R$ 50,63",#95,books,Amazon,2024-11-21 18:59:26
"Chama de Ferro: Edição Especial Limitada. Sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 98,36",#96,books,Amazon,2024-11-21 18:59:26
Box Trilogia O Senhor dos Anéis,"R$ 133,30",#97,books,Amazon,2024-11-21 18:59:26
