nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-23 22:10:02
A revolução dos bichos: Um conto de fadas,"R$ 14,42",#2,books,Amazon,2024-11-23 22:10:02
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#3,books,Amazon,2024-11-23 22:10:02
1984,"R$ 16,02",#4,books,Amazon,2024-11-23 22:10:02
Jantar secreto,"R$ 36,74",#5,books,Amazon,2024-11-23 22:10:03
A hora da estrela: Edição comemorativa,"R$ 18,24",#6,books,Amazon,2024-11-23 22:10:03
"Amor, teoricamente","R$ 29,05",#7,books,Amazon,2024-11-23 22:10:03
O Hobbit + pôster,"R$ 29,43",#8,books,Amazon,2024-11-23 22:10:03
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#9,books,Amazon,2024-11-23 22:10:03
A hipótese do amor,"R$ 29,13",#10,books,Amazon,2024-11-23 22:10:03
Conhecendo os Sons da Fazenda. Vaquinha,"R$ 22,99",#11,books,Amazon,2024-11-23 22:10:03
Ainda estou aqui - O livro que deu origem ao filme,"R$ 58,12",#12,books,Amazon,2024-11-23 22:10:04
É Assim que Acaba: 1,"R$ 29,90",#13,books,Amazon,2024-11-23 22:10:04
A Biblioteca da Meia-Noite,"R$ 30,64",#14,books,Amazon,2024-11-23 22:10:04
Até o verão terminar,"R$ 25,78",#15,books,Amazon,2024-11-23 22:10:04
A paciente silenciosa,"R$ 28,44",#16,books,Amazon,2024-11-23 22:10:04
Olhos D'Água,"R$ 16,63",#17,books,Amazon,2024-11-23 22:10:04
As extraordinárias viagens de Júlio Verne - Box com 6 livros,"R$ 42,95",#18,books,Amazon,2024-11-23 22:10:04
Imperfeitos,"R$ 16,89",#19,books,Amazon,2024-11-23 22:10:04
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#20,books,Amazon,2024-11-23 22:10:05
Powerless: 1,"R$ 36,61",#21,books,Amazon,2024-11-23 22:10:05
Cem anos de solidão,"R$ 29,90",#22,books,Amazon,2024-11-23 22:10:05
Maus,"R$ 48,06",#23,books,Amazon,2024-11-23 22:10:05
Noiva,"R$ 36,28",#24,books,Amazon,2024-11-23 22:10:05
Melhor do que nos filmes,"R$ 34,90",#25,books,Amazon,2024-11-23 22:10:05
Os sete maridos de Evelyn Hugo,"R$ 25,14",#26,books,Amazon,2024-11-23 22:10:05
Oração para Desaparecer,"R$ 30,80",#27,books,Amazon,2024-11-23 22:10:06
Memórias do subsolo,"R$ 21,69",#28,books,Amazon,2024-11-23 22:10:06
Como fazer amigos e influenciar pessoas,"R$ 28,00",#29,books,Amazon,2024-11-23 22:10:06
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 30,86",#30,books,Amazon,2024-11-23 22:10:06
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#31,books,Amazon,2024-11-23 22:10:06
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 36,68",#32,books,Amazon,2024-11-23 22:10:06
Um dia muito mal-humorado,"R$ 19,00",#33,books,Amazon,2024-11-23 22:10:06
A cabeça do santo,"R$ 36,27",#34,books,Amazon,2024-11-23 22:10:07
Manual Diagnóstico e Estatístico de Transtornos Mentais - DSM-5-TR: Texto Revisado,"R$ 190,73",#35,books,Amazon,2024-11-23 22:10:07
"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 57,00",#36,books,Amazon,2024-11-23 22:10:07
A Seleção: 1,"R$ 23,99",#37,books,Amazon,2024-11-23 22:10:07
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 31,64",#38,books,Amazon,2024-11-23 22:10:07
As 48 leis do poder: Edição concisa,"R$ 23,48",#39,books,Amazon,2024-11-23 22:10:07
Eu e Esse meu Coração,"R$ 25,06",#40,books,Amazon,2024-11-23 22:10:07
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 41,36",#41,books,Amazon,2024-11-23 22:10:08
Aurora: O despertar da mulher exausta,"R$ 20,64",#42,books,Amazon,2024-11-23 22:10:08
Suicidas,"R$ 33,40",#43,books,Amazon,2024-11-23 22:10:08
Perigoso!,"R$ 14,90",#44,books,Amazon,2024-11-23 22:10:08
Depois daquele verão,"R$ 20,56",#45,books,Amazon,2024-11-23 22:10:08
Rápido e devagar: Duas formas de pensar,"R$ 40,47",#46,books,Amazon,2024-11-23 22:10:08
Essencialismo: A disciplinada busca por menos,"R$ 32,00",#47,books,Amazon,2024-11-23 22:10:08
"Em outra vida, talvez?","R$ 26,77",#48,books,Amazon,2024-11-23 22:10:09
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 25,70",#49,books,Amazon,2024-11-23 22:10:09
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#50,books,Amazon,2024-11-23 22:10:09
O Deus que destrói sonhos,"R$ 20,90",#51,books,Amazon,2024-11-23 22:10:29
Outlive: A arte e a ciência de viver mais e melhor,"R$ 40,72",#52,books,Amazon,2024-11-23 22:10:29
Tudo é rio,"R$ 35,97",#53,books,Amazon,2024-11-23 22:10:30
Antes que o café esfrie: 1,"R$ 23,56",#54,books,Amazon,2024-11-23 22:10:30
Cleopatra e Frankenstein,"R$ 30,96",#55,books,Amazon,2024-11-23 22:10:30
Cartas de um diabo a seu aprendiz,"R$ 27,55",#56,books,Amazon,2024-11-23 22:10:30
Primeiro amor,"R$ 25,70",#57,books,Amazon,2024-11-23 22:10:30
O poder do subconsciente,"R$ 22,79",#58,books,Amazon,2024-11-23 22:10:30
Rei da Ira (Reis do Pecado – Livro 1),"R$ 29,45",#59,books,Amazon,2024-11-23 22:10:31
O Senhor dos Aneis - Edição de Colecionador com Ilustrações de Alan Lee,"R$ 299,90",#60,books,Amazon,2024-11-23 22:10:31
Véspera,"R$ 32,21",#61,books,Amazon,2024-11-23 22:10:31
Vai dar tudo certo,"R$ 23,59",#62,books,Amazon,2024-11-23 22:10:31
Confissões de santo Agostinho,"R$ 19,94",#63,books,Amazon,2024-11-23 22:10:31
Sou péssimo em português,"R$ 16,24",#64,books,Amazon,2024-11-23 22:10:31
Nada pode me ferir,"R$ 36,92",#65,books,Amazon,2024-11-23 22:10:32
O lado feio do amor,"R$ 31,27",#66,books,Amazon,2024-11-23 22:10:32
Coleção Especial Sherlock Holmes - Box com 6 livros,"R$ 45,68",#67,books,Amazon,2024-11-23 22:10:32
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#68,books,Amazon,2024-11-23 22:10:32
Confesse,"R$ 50,00",#69,books,Amazon,2024-11-23 22:10:32
Abigail,"R$ 19,00",#70,books,Amazon,2024-11-23 22:10:33
Quarta asa: 1,"R$ 57,40",#71,books,Amazon,2024-11-23 22:10:33
Em rota de colisão,"R$ 31,80",#72,books,Amazon,2024-11-23 22:10:33
A natureza da mordida,"R$ 31,72",#73,books,Amazon,2024-11-23 22:10:33
A insustentável leveza do ser,"R$ 22,15",#74,books,Amazon,2024-11-23 22:10:33
Box Clássicos de William Shakespeare - com 7 marcadores de páginas,"R$ 46,95",#75,books,Amazon,2024-11-23 22:10:33
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 30,49",#76,books,Amazon,2024-11-23 22:10:34
Clássicos Góticos,"R$ 48,93",#77,books,Amazon,2024-11-23 22:10:34
Violeta,"R$ 27,95",#78,books,Amazon,2024-11-23 22:10:34
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 21,99",#79,books,Amazon,2024-11-23 22:10:34
Leitura de verão,"R$ 25,64",#80,books,Amazon,2024-11-23 22:10:34
Pequena coreografia do adeus,"R$ 30,90",#81,books,Amazon,2024-11-23 22:10:35
Todas as suas (im)perfeições,"R$ 31,19",#82,books,Amazon,2024-11-23 22:10:35
Coleção Anne de Green Gables com 8 livros mais Diário de aventuras,"R$ 56,69",#83,books,Amazon,2024-11-23 22:10:35
Layla,"R$ 26,59",#84,books,Amazon,2024-11-23 22:10:35
"Novembro, 9","R$ 41,93",#85,books,Amazon,2024-11-23 22:10:35
Em busca de mim,"R$ 26,58",#86,books,Amazon,2024-11-23 22:10:35
O velho e o mar,"R$ 27,07",#87,books,Amazon,2024-11-23 22:10:36
"Eu, meu pavio curto e Deus: Aprendendo a irar-se sem pecar","R$ 24,88",#88,books,Amazon,2024-11-23 22:10:36
Onde Está a Bluey?: Um Livro de Esconde-Esconde,"R$ 14,29",#89,books,Amazon,2024-11-23 22:10:36
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 35,69",#90,books,Amazon,2024-11-23 22:10:36
Fisher-Price - Quando estou...,"R$ 15,54",#91,books,Amazon,2024-11-23 22:10:36
Elayne Baeta,"R$ 79,90",#92,books,Amazon,2024-11-23 22:10:37
Noites brancas: Romance sentimental (Das memórias de um sonhador),"R$ 25,59",#93,books,Amazon,2024-11-23 22:10:37
As mil partes do meu coração,"R$ 30,41",#94,books,Amazon,2024-11-23 22:10:37
A maldição do verdadeiro amor (Sucesso no TikTok),"R$ 34,20",#95,books,Amazon,2024-11-23 22:10:37
O corajoso pinguim,"R$ 17,20",#96,books,Amazon,2024-11-23 22:10:37
Mentirosos – Sucesso no TikTok,"R$ 29,53",#97,books,Amazon,2024-11-23 22:10:38
Vou te receitar um gato,"R$ 28,50",#98,books,Amazon,2024-11-23 22:10:38
Amiguinhos Recortados II: Zebra,"R$ 1,33",#99,books,Amazon,2024-11-23 22:10:38
Palavras de Radiância,"R$ 83,15",#100,books,Amazon,2024-11-23 22:10:38
