nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-29 21:54:08
Tudo é rio,"R$ 29,99",#2,books,Amazon,2024-11-29 21:54:08
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 28,50",#3,books,Amazon,2024-11-29 21:54:08
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#4,books,Amazon,2024-11-29 21:54:08
A Biblioteca da Meia-Noite,"R$ 30,64",#5,books,Amazon,2024-11-29 21:54:09
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#6,books,Amazon,2024-11-29 21:54:09
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 40,00",#7,books,Amazon,2024-11-29 21:54:09
O Hobbit + pôster,"R$ 29,43",#8,books,Amazon,2024-11-29 21:54:09
Ainda estou aqui - O livro que deu origem ao filme,"R$ 46,79",#9,books,Amazon,2024-11-29 21:54:09
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 74,73",#10,books,Amazon,2024-11-29 21:54:09
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 36,68",#11,books,Amazon,2024-11-29 21:54:09
Cem anos de solidão,"R$ 29,90",#12,books,Amazon,2024-11-29 21:54:09
"Amor, teoricamente","R$ 29,05",#13,books,Amazon,2024-11-29 21:54:09
É Assim que Acaba: 1,"R$ 29,90",#14,books,Amazon,2024-11-29 21:54:10
A paciente silenciosa,"R$ 28,44",#15,books,Amazon,2024-11-29 21:54:10
Véspera,"R$ 30,70",#16,books,Amazon,2024-11-29 21:54:10
As extraordinárias viagens de Júlio Verne - Box com 6 livros,"R$ 90,61",#17,books,Amazon,2024-11-29 21:54:10
O Deus que destrói sonhos,"R$ 19,86",#18,books,Amazon,2024-11-29 21:54:10
Imperfeitos,"R$ 16,89",#19,books,Amazon,2024-11-29 21:54:10
O homem mais rico da Babilônia,"R$ 18,99",#20,books,Amazon,2024-11-29 21:54:10
