nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-24 21:44:11
Assistente do Vilão (Sucesso no TikTok),"R$ 41,93",#2,books,Amazon,2024-11-24 21:44:11
Aprendiz do Vilão,"R$ 29,35",#3,books,Amazon,2024-11-24 21:44:11
A hora da estrela: Edição comemorativa,"R$ 18,24",#4,books,Amazon,2024-11-24 21:44:11
"Amor, teoricamente","R$ 29,05",#5,books,Amazon,2024-11-24 21:44:11
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#6,books,Amazon,2024-11-24 21:44:11
O Hobbit + pôster,"R$ 29,43",#7,books,Amazon,2024-11-24 21:44:11
A revolução dos bichos: Um conto de fadas,"R$ 14,42",#8,books,Amazon,2024-11-24 21:44:12
Ainda estou aqui - O livro que deu origem ao filme,"R$ 58,12",#9,books,Amazon,2024-11-24 21:44:12
Conhecendo os Sons da Fazenda. Vaquinha,"R$ 22,99",#10,books,Amazon,2024-11-24 21:44:12
As extraordinárias viagens de Júlio Verne - Box com 6 livros,"R$ 42,95",#11,books,Amazon,2024-11-24 21:44:12
A hipótese do amor,"R$ 29,13",#12,books,Amazon,2024-11-24 21:44:12
É Assim que Acaba: 1,"R$ 29,90",#13,books,Amazon,2024-11-24 21:44:12
Jantar secreto,"R$ 38,36",#14,books,Amazon,2024-11-24 21:44:13
A Biblioteca da Meia-Noite,"R$ 30,64",#15,books,Amazon,2024-11-24 21:44:13
Até o verão terminar,"R$ 25,78",#16,books,Amazon,2024-11-24 21:44:13
A paciente silenciosa,"R$ 28,44",#17,books,Amazon,2024-11-24 21:44:13
1984,"R$ 16,02",#18,books,Amazon,2024-11-24 21:44:13
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#19,books,Amazon,2024-11-24 21:44:13
Imperfeitos,"R$ 16,89",#20,books,Amazon,2024-11-24 21:44:13
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#21,books,Amazon,2024-11-24 21:44:13
Melhor do que nos filmes,"R$ 34,90",#22,books,Amazon,2024-11-24 21:44:14
Olhos D'Água,"R$ 16,63",#23,books,Amazon,2024-11-24 21:44:14
