nome,preco,classificado,categoria,site,data_raspagem
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#1,books,Amazon,2024-11-19 21:51:02
Como fazer amigos e influenciar pessoas,"R$ 28,00",#2,books,Amazon,2024-11-19 21:51:02
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#3,books,Amazon,2024-11-19 21:51:02
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#4,books,Amazon,2024-11-19 21:51:02
Os sete maridos de Evelyn Hugo,"R$ 25,14",#5,books,Amazon,2024-11-19 21:51:02
O Deus que destrói sonhos,"R$ 20,90",#6,books,Amazon,2024-11-19 21:51:02
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#7,books,Amazon,2024-11-19 21:51:02
Ainda estou aqui - O livro que deu origem ao filme,"R$ 59,05",#8,books,Amazon,2024-11-19 21:51:03
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#9,books,Amazon,2024-11-19 21:51:03
Minhas 100 primeiras palavras,"R$ 9,32",#10,books,Amazon,2024-11-19 21:51:03
O Morro dos Ventos Uivantes - Edição de Luxo Almofadada,"R$ 19,88",#11,books,Amazon,2024-11-19 21:51:03
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 19,90",#12,books,Amazon,2024-11-19 21:51:03
O livro das virtudes para crianças,"R$ 28,89",#13,books,Amazon,2024-11-19 21:51:03
Depois daquele verão,"R$ 24,90",#14,books,Amazon,2024-11-19 21:51:03
101 primeiros desenhos,"R$ 9,69",#15,books,Amazon,2024-11-19 21:51:04
"Murdle: Volume 1: 100 mistérios, de básicos a impossíveis, para solucionar usando a lógica, a habilidade e o poder de dedução","R$ 39,45",#16,books,Amazon,2024-11-19 21:51:04
O homem mais rico da Babilônia,"R$ 24,40",#17,books,Amazon,2024-11-19 21:51:04
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,88",#18,books,Amazon,2024-11-19 21:51:04
Perigoso!,"R$ 25,94",#19,books,Amazon,2024-11-19 21:51:04
Fisher-Price - Kit Coleção Como é Bom,"R$ 31,35",#20,books,Amazon,2024-11-19 21:51:04
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 32,98",#21,books,Amazon,2024-11-19 21:51:04
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 44,90",#22,books,Amazon,2024-11-19 21:51:04
A Biblioteca da Meia-Noite,"R$ 41,90",#23,books,Amazon,2024-11-19 21:51:04
Verity,"R$ 34,70",#24,books,Amazon,2024-11-19 21:51:05
Como falar em público e encantar as pessoas,"R$ 25,18",#25,books,Amazon,2024-11-19 21:51:05
Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,"R$ 33,93",#26,books,Amazon,2024-11-19 21:51:05
A hora da estrela: Edição comemorativa,"R$ 24,43",#27,books,Amazon,2024-11-19 21:51:05
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 76,40",#28,books,Amazon,2024-11-19 21:51:05
Em Nome do Povo: Como o Casamento Entre Estado e Moeda te Deixa Mais Pobre,"R$ 41,90",#29,books,Amazon,2024-11-19 21:51:05
É Assim que Acaba: 1,"R$ 42,24",#30,books,Amazon,2024-11-19 21:51:05
Nada pode me ferir,"R$ 39,45",#31,books,Amazon,2024-11-19 21:51:05
O diário de uma princesa desastrada 3: A maldição das princesas,"R$ 53,65",#32,books,Amazon,2024-11-19 21:51:05
O pobre de direita: A vingança dos bastardos,"R$ 55,29",#33,books,Amazon,2024-11-19 21:51:06
A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,"R$ 32,87",#34,books,Amazon,2024-11-19 21:51:06
Não é como nos filmes: (Melhor do que nos filmes – vol. 2),"R$ 54,95",#35,books,Amazon,2024-11-19 21:51:06
Manual de persuasão do FBI,"R$ 27,99",#36,books,Amazon,2024-11-19 21:51:06
Diário de um Banana 19: Baita lambança,"R$ 48,91",#37,books,Amazon,2024-11-19 21:51:06
Nada mais será como antes,"R$ 79,20",#38,books,Amazon,2024-11-19 21:51:06
O Pequeno Príncipe - Edição de Luxo Almofadada,"R$ 17,39",#39,books,Amazon,2024-11-19 21:51:06
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 36,17",#40,books,Amazon,2024-11-19 21:51:06
