nome,preco,classificado,categoria,site,data_raspagem
As aventuras de priminha irritante no reino dos unicórnios: 1,"R$ 45,90",#58,books,Amazon,2024-11-18 22:20:31
O Príncipe - Edição de Luxo Almofadada,"R$ 19,01",#59,books,Amazon,2024-11-18 22:20:32
Um defeito de cor,"R$ 61,83",#60,books,Amazon,2024-11-18 22:20:32
Livro-BOX divertido! Fazenda,"R$ 16,06",#61,books,Amazon,2024-11-18 22:20:32
Forte: Devocionais para uma vida poderosa e apaixonada,"R$ 34,24",#62,books,Amazon,2024-11-18 22:20:32
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 33,02",#63,books,Amazon,2024-11-18 22:20:32
"Chama de Ferro: Edição Especial Limitada. Sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 98,36",#64,books,Amazon,2024-11-18 22:20:32
Outlive: A arte e a ciência de viver mais e melhor,"R$ 52,63",#65,books,Amazon,2024-11-18 22:20:33
Confissões de Santo Agostinho - Edição de Luxo Almofadada,"R$ 33,16",#66,books,Amazon,2024-11-18 22:20:33
Divinos rivais (Sucesso no TikTok): 1- Idioma : Português,"R$ 31,80",#67,books,Amazon,2024-11-18 22:20:33
Em agosto nos vemos,"R$ 44,83",#68,books,Amazon,2024-11-18 22:20:33
A paciente silenciosa,"R$ 39,90",#69,books,Amazon,2024-11-18 22:20:33
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 19,90",#70,books,Amazon,2024-11-18 22:20:33
Box Trilogia O Senhor dos Anéis,"R$ 129,90",#71,books,Amazon,2024-11-18 22:20:34
Patrulha Canina - Verdadeiros campeões,"R$ 1,90",#72,books,Amazon,2024-11-18 22:20:34
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 62,07",#73,books,Amazon,2024-11-18 22:20:34
Rachel Gillig,"R$ 59,90",#74,books,Amazon,2024-11-18 22:20:34
Coleção Aprenda com Diversão na Fazenda,"R$ 23,90",#75,books,Amazon,2024-11-18 22:20:34
Sociedade do cansaço,"R$ 29,36",#76,books,Amazon,2024-11-18 22:20:35
A metamorfose: DIE VERWANDLUNG,"R$ 14,13",#77,books,Amazon,2024-11-18 22:20:35
Jantar secreto,"R$ 36,74",#78,books,Amazon,2024-11-18 22:20:35
"Bíblia NVI, Capa Dura, Azul, Econômica, Tulipa","R$ 36,79",#79,books,Amazon,2024-11-18 22:20:35
Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,"R$ 34,90",#80,books,Amazon,2024-11-18 22:20:35
"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 67,84",#81,books,Amazon,2024-11-18 22:20:35
"Nexus: Uma breve história das redes de informação, da Idade da Pedra à inteligência artificial","R$ 83,04",#82,books,Amazon,2024-11-18 22:20:36
Cleopatra e Frankenstein,"R$ 32,98",#83,books,Amazon,2024-11-18 22:20:36
League of Legends: Realms of Runeterra (Official Companion),"R$ 17,99",#84,books,Amazon,2024-11-18 22:20:36
A vegetariana - Prêmio Nobel de Literatura 2024,"R$ 56,92",#85,books,Amazon,2024-11-18 22:20:36
