nome,preco,classificado,categoria,site,data_raspagem
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#1,books,Amazon,2024-11-20 20:45:44
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#2,books,Amazon,2024-11-20 20:45:44
Como fazer amigos e influenciar pessoas,"R$ 28,00",#3,books,Amazon,2024-11-20 20:45:44
Ainda estou aqui - O livro que deu origem ao filme,"R$ 58,74",#4,books,Amazon,2024-11-20 20:45:45
Os sete maridos de Evelyn Hugo,"R$ 25,14",#5,books,Amazon,2024-11-20 20:45:45
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#6,books,Amazon,2024-11-20 20:45:45
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 19,90",#7,books,Amazon,2024-11-20 20:45:45
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#8,books,Amazon,2024-11-20 20:45:45
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#9,books,Amazon,2024-11-20 20:45:45
O Deus que destrói sonhos,"R$ 20,90",#10,books,Amazon,2024-11-20 20:45:45
Noiva,"R$ 40,39",#11,books,Amazon,2024-11-20 20:45:45
Minhas 100 primeiras palavras,"R$ 9,32",#12,books,Amazon,2024-11-20 20:45:45
Verity,"R$ 34,70",#13,books,Amazon,2024-11-20 20:45:45
Fisher-Price - Kit Coleção Como é Bom,"R$ 31,35",#14,books,Amazon,2024-11-20 20:45:46
O Morro dos Ventos Uivantes - Edição de Luxo Almofadada,"R$ 19,88",#15,books,Amazon,2024-11-20 20:45:46
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 32,96",#16,books,Amazon,2024-11-20 20:45:46
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,87",#17,books,Amazon,2024-11-20 20:45:46
Salvar o fogo - 2ª EDIÇÃO BROCHURA,"R$ 50,85",#18,books,Amazon,2024-11-20 20:45:46
O homem mais rico da Babilônia,"R$ 24,40",#19,books,Amazon,2024-11-20 20:45:46
O diário de uma princesa desastrada 3: A maldição das princesas,"R$ 53,65",#20,books,Amazon,2024-11-20 20:45:46
A hora da estrela: Edição comemorativa,"R$ 23,27",#21,books,Amazon,2024-11-20 20:45:46
O Pequeno Príncipe - Edição de Luxo Almofadada,"R$ 27,45",#22,books,Amazon,2024-11-20 20:45:46
Depois daquele verão,"R$ 24,90",#23,books,Amazon,2024-11-20 20:45:47
Como falar em público e encantar as pessoas,"R$ 25,18",#24,books,Amazon,2024-11-20 20:45:47
"Murdle: Volume 1: 100 mistérios, de básicos a impossíveis, para solucionar usando a lógica, a habilidade e o poder de dedução","R$ 39,45",#25,books,Amazon,2024-11-20 20:45:47
Manual de persuasão do FBI,"R$ 27,56",#26,books,Amazon,2024-11-20 20:45:47
Perigoso!,"R$ 21,44",#27,books,Amazon,2024-11-20 20:45:47
Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,"R$ 33,37",#28,books,Amazon,2024-11-20 20:45:47
Não é como nos filmes: (Melhor do que nos filmes – vol. 2),"R$ 54,66",#29,books,Amazon,2024-11-20 20:45:47
Diário de um Banana 19: Baita lambança,"R$ 48,91",#30,books,Amazon,2024-11-20 20:45:47
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 45,22",#31,books,Amazon,2024-11-20 20:45:47
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 76,01",#32,books,Amazon,2024-11-20 20:45:48
Como ser um educador antirracista: Para familiares e professores - Finalista do Prêmio Jabuti 2024,"R$ 37,05",#33,books,Amazon,2024-11-20 20:45:48
A Biblioteca da Meia-Noite,"R$ 41,90",#34,books,Amazon,2024-11-20 20:45:48
Em Nome do Povo: Como o Casamento Entre Estado e Moeda te Deixa Mais Pobre,"R$ 41,90",#35,books,Amazon,2024-11-20 20:45:48
A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,"R$ 33,16",#36,books,Amazon,2024-11-20 20:45:48
Um dia muito mal-humorado,"R$ 20,53",#37,books,Amazon,2024-11-20 20:45:48
O pobre de direita: A vingança dos bastardos,"R$ 55,00",#38,books,Amazon,2024-11-20 20:45:48
"Baviera Tropical: A história de Josef Mengele, o médico nazista mais procurado do mundo, que viveu quase vinte anos no Brasil sem nunca ser pego","R$ 53,90",#39,books,Amazon,2024-11-20 20:45:48
O Príncipe - Edição de Luxo Almofadada,"R$ 17,48",#40,books,Amazon,2024-11-20 20:45:48
Nada pode me ferir,"R$ 39,45",#41,books,Amazon,2024-11-20 20:45:49
A Menina do Outro Lado: 1,"R$ 27,28",#42,books,Amazon,2024-11-20 20:45:49
Essencialismo: A disciplinada busca por menos,"R$ 39,45",#43,books,Amazon,2024-11-20 20:45:49
É assim que começa (Vol. 2 É assim que acaba),"R$ 42,24",#44,books,Amazon,2024-11-20 20:45:49
Quarta asa: 1,"R$ 57,40",#45,books,Amazon,2024-11-20 20:45:49
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 36,17",#46,books,Amazon,2024-11-20 20:45:49
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 39,45",#47,books,Amazon,2024-11-20 20:45:49
Melhor do que nos filmes,"R$ 39,45",#48,books,Amazon,2024-11-20 20:45:49
É Assim que Acaba: 1,"R$ 41,72",#49,books,Amazon,2024-11-20 20:45:50
Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,"R$ 31,11",#50,books,Amazon,2024-11-20 20:45:50
A Menina do Outro lado: Vol. 2,"R$ 27,28",#51,books,Amazon,2024-11-20 20:46:11
A gente mira no amor e acerta na solidão,"R$ 31,20",#52,books,Amazon,2024-11-20 20:46:11
Tudo é rio,"R$ 45,40",#53,books,Amazon,2024-11-20 20:46:11
Olhos D'Água,"R$ 20,50",#54,books,Amazon,2024-11-20 20:46:11
Meu Livro Fofinho: Bíblia do Bebê,"R$ 10,00",#55,books,Amazon,2024-11-20 20:46:12
O despertar da lua caída – Edição especial em capa dura com pintura trilateral,"R$ 60,33",#56,books,Amazon,2024-11-20 20:46:12
Elayne Baeta,"R$ 79,90",#57,books,Amazon,2024-11-20 20:46:12
Patrulha Canina - Verdadeiros campeões,"R$ 1,90",#58,books,Amazon,2024-11-20 20:46:12
"Sempre Paris: Crônica de uma cidade, seus escritores e artistas","R$ 60,81",#59,books,Amazon,2024-11-20 20:46:12
Nada mais será como antes,"R$ 68,30",#60,books,Amazon,2024-11-20 20:46:12
O livro das virtudes para crianças,"R$ 53,90",#61,books,Amazon,2024-11-20 20:46:12
O Show da Luna - Descobrindo os dinossauros,"R$ 1,90",#62,books,Amazon,2024-11-20 20:46:13
Sociedade do cansaço,"R$ 29,36",#63,books,Amazon,2024-11-20 20:46:13
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 32,05",#64,books,Amazon,2024-11-20 20:46:13
Box duologia Divinos Rivais,"R$ 90,93",#65,books,Amazon,2024-11-20 20:46:13
101 primeiros desenhos,"R$ 9,69",#66,books,Amazon,2024-11-20 20:46:13
Verity (Edição de colecionador),"R$ 47,50",#67,books,Amazon,2024-11-20 20:46:13
Virando o jogo: 1,"R$ 28,32",#68,books,Amazon,2024-11-20 20:46:14
As aventuras de priminha irritante no reino dos unicórnios: 1,"R$ 45,90",#69,books,Amazon,2024-11-20 20:46:14
Confissões de Santo Agostinho - Edição de Luxo Almofadada,"R$ 33,16",#70,books,Amazon,2024-11-20 20:46:14
