nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-26 22:56:41
Conhecendo os Sons da Fazenda. Vaquinha,"R$ 22,99",#2,books,Amazon,2024-11-26 22:56:41
A hora da estrela: Edição comemorativa,"R$ 23,27",#3,books,Amazon,2024-11-26 22:56:42
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#4,books,Amazon,2024-11-26 22:56:42
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#5,books,Amazon,2024-11-26 22:56:42
A Biblioteca da Meia-Noite,"R$ 30,64",#6,books,Amazon,2024-11-26 22:56:42
O Hobbit + pôster,"R$ 29,43",#7,books,Amazon,2024-11-26 22:56:42
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#8,books,Amazon,2024-11-26 22:56:42
Ainda estou aqui - O livro que deu origem ao filme,"R$ 57,51",#9,books,Amazon,2024-11-26 22:56:42
Aprendiz do Vilão,"R$ 29,35",#10,books,Amazon,2024-11-26 22:56:42
É Assim que Acaba: 1,"R$ 29,90",#11,books,Amazon,2024-11-26 22:56:43
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#12,books,Amazon,2024-11-26 22:56:43
A hipótese do amor,"R$ 29,13",#13,books,Amazon,2024-11-26 22:56:43
A paciente silenciosa,"R$ 28,44",#14,books,Amazon,2024-11-26 22:56:43
Cem anos de solidão,"R$ 29,90",#15,books,Amazon,2024-11-26 22:56:43
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 30,86",#16,books,Amazon,2024-11-26 22:56:43
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 36,68",#17,books,Amazon,2024-11-26 22:56:43
Imperfeitos,"R$ 16,89",#18,books,Amazon,2024-11-26 22:56:43
Um dia muito mal-humorado,"R$ 19,00",#19,books,Amazon,2024-11-26 22:56:43
Essencialismo: A disciplinada busca por menos,"R$ 32,00",#20,books,Amazon,2024-11-26 22:56:44
Aurora: O despertar da mulher exausta,"R$ 20,64",#21,books,Amazon,2024-11-26 22:56:44
Oração para Desaparecer,"R$ 30,80",#22,books,Amazon,2024-11-26 22:56:44
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,91",#23,books,Amazon,2024-11-26 22:56:44
Como fazer amigos e influenciar pessoas,"R$ 31,64",#24,books,Amazon,2024-11-26 22:56:44
O poder do subconsciente,"R$ 22,79",#25,books,Amazon,2024-11-26 22:56:44
O Deus que destrói sonhos,"R$ 20,90",#26,books,Amazon,2024-11-26 22:56:44
Manual Diagnóstico e Estatístico de Transtornos Mentais - DSM-5-TR: Texto Revisado,"R$ 190,73",#27,books,Amazon,2024-11-26 22:56:44
Melhor do que nos filmes,"R$ 34,90",#28,books,Amazon,2024-11-26 22:56:45
Perigoso!,"R$ 14,90",#29,books,Amazon,2024-11-26 22:56:45
Vai dar tudo certo,"R$ 23,59",#30,books,Amazon,2024-11-26 22:56:45
Memórias do subsolo,"R$ 21,69",#31,books,Amazon,2024-11-26 22:56:45
As 48 leis do poder: Edição concisa,"R$ 23,48",#32,books,Amazon,2024-11-26 22:56:45
Antes que o café esfrie: 1,"R$ 23,56",#33,books,Amazon,2024-11-26 22:56:45
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 41,36",#34,books,Amazon,2024-11-26 22:56:45
Fisher-Price - Kit Coleção Como é Bom,"R$ 29,78",#35,books,Amazon,2024-11-26 22:56:45
A cabeça do santo,"R$ 36,27",#36,books,Amazon,2024-11-26 22:56:46
Os sete maridos de Evelyn Hugo,"R$ 25,14",#37,books,Amazon,2024-11-26 22:56:46
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 25,70",#38,books,Amazon,2024-11-26 22:56:46
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 48,90",#39,books,Amazon,2024-11-26 22:56:46
Eu e Esse meu Coração,"R$ 25,06",#40,books,Amazon,2024-11-26 22:56:46
Tudo é rio,"R$ 35,97",#41,books,Amazon,2024-11-26 22:56:46
Powerless: 1,"R$ 36,61",#42,books,Amazon,2024-11-26 22:56:46
Nada pode me ferir,"R$ 36,92",#43,books,Amazon,2024-11-26 22:56:46
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 31,64",#44,books,Amazon,2024-11-26 22:56:47
"Amor, teoricamente","R$ 39,45",#45,books,Amazon,2024-11-26 22:56:47
