nome,preco,classificado,categoria,site,data_raspagem
Depois daquele verão,"R$ 17,22",#1,books,Amazon,2024-11-17 23:24:52
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#2,books,Amazon,2024-11-17 23:24:52
Como fazer amigos e influenciar pessoas,"R$ 28,00",#3,books,Amazon,2024-11-17 23:24:52
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 44,90",#4,books,Amazon,2024-11-17 23:24:53
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#5,books,Amazon,2024-11-17 23:24:53
O Deus que destrói sonhos,"R$ 20,90",#6,books,Amazon,2024-11-17 23:24:53
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#7,books,Amazon,2024-11-17 23:24:53
Perigoso!,"R$ 13,80",#8,books,Amazon,2024-11-17 23:24:53
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#9,books,Amazon,2024-11-17 23:24:53
Ainda estou aqui - O livro que deu origem ao filme,"R$ 65,90",#10,books,Amazon,2024-11-17 23:24:53
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 33,03",#11,books,Amazon,2024-11-17 23:24:53
Manual de persuasão do FBI,"R$ 28,00",#12,books,Amazon,2024-11-17 23:24:53
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#13,books,Amazon,2024-11-17 23:24:53
Não é como nos filmes: (Melhor do que nos filmes – vol. 2),"R$ 52,03",#14,books,Amazon,2024-11-17 23:24:54
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,86",#15,books,Amazon,2024-11-17 23:24:54
O homem mais rico da Babilônia,"R$ 24,40",#16,books,Amazon,2024-11-17 23:24:54
O diário de uma princesa desastrada 3: A maldição das princesas,"R$ 60,81",#17,books,Amazon,2024-11-17 23:24:54
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 76,01",#18,books,Amazon,2024-11-17 23:24:54
Como falar em público e encantar as pessoas,"R$ 25,18",#19,books,Amazon,2024-11-17 23:24:54
Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,"R$ 33,45",#20,books,Amazon,2024-11-17 23:24:54
A hora da estrela: Edição comemorativa,"R$ 24,43",#21,books,Amazon,2024-11-17 23:24:54
Fisher-Price - Kit Coleção Como é Bom,"R$ 31,35",#22,books,Amazon,2024-11-17 23:24:55
O pobre de direita: A vingança dos bastardos,"R$ 58,21",#23,books,Amazon,2024-11-17 23:24:55
"Murdle: Volume 1: 100 mistérios, de básicos a impossíveis, para solucionar usando a lógica, a habilidade e o poder de dedução","R$ 39,45",#24,books,Amazon,2024-11-17 23:24:55
Em Nome do Povo: Como o Casamento Entre Estado e Moeda te Deixa Mais Pobre,"R$ 41,90",#25,books,Amazon,2024-11-17 23:24:55
Verity,"R$ 34,70",#26,books,Amazon,2024-11-17 23:24:55
Melhor do que nos filmes,"R$ 39,45",#27,books,Amazon,2024-11-17 23:24:55
A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,"R$ 33,25",#28,books,Amazon,2024-11-17 23:24:56
Nada pode me ferir,"R$ 39,45",#29,books,Amazon,2024-11-17 23:24:56
O Morro dos Ventos Uivantes - Edição de Luxo Almofadada,"R$ 20,51",#30,books,Amazon,2024-11-17 23:24:56
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 36,17",#31,books,Amazon,2024-11-17 23:24:56
Quarta asa: 1,"R$ 57,40",#32,books,Amazon,2024-11-17 23:24:56
Virando o jogo: 1,"R$ 28,32",#33,books,Amazon,2024-11-17 23:24:56
A Biblioteca da Meia-Noite,"R$ 41,90",#34,books,Amazon,2024-11-17 23:24:56
Minhas 100 primeiras palavras,"R$ 9,32",#35,books,Amazon,2024-11-17 23:24:57
O despertar da lua caída – Edição especial em capa dura com pintura trilateral,"R$ 56,91",#36,books,Amazon,2024-11-17 23:24:57
É assim que começa (Vol. 2 É assim que acaba),"R$ 43,55",#37,books,Amazon,2024-11-17 23:24:57
Tudo é rio,"R$ 45,40",#38,books,Amazon,2024-11-17 23:24:57
O Pequeno Príncipe - Edição de Luxo Almofadada,"R$ 20,04",#39,books,Amazon,2024-11-17 23:24:57
A gente mira no amor e acerta na solidão,"R$ 31,20",#40,books,Amazon,2024-11-17 23:24:58
Diário de um Banana 19: Baita lambança,"R$ 50,27",#41,books,Amazon,2024-11-17 23:24:58
É Assim que Acaba: 1,"R$ 41,72",#42,books,Amazon,2024-11-17 23:24:58
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 39,45",#43,books,Amazon,2024-11-17 23:24:58
Os sete maridos de Evelyn Hugo,"R$ 33,91",#44,books,Amazon,2024-11-17 23:24:58
500 adesivos Divertida Mente 2,"R$ 20,90",#45,books,Amazon,2024-11-17 23:24:59
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 33,02",#46,books,Amazon,2024-11-17 23:24:59
Livro do desassossego,"R$ 11,39",#47,books,Amazon,2024-11-17 23:24:59
Kit Hopeless,"R$ 52,90",#48,books,Amazon,2024-11-17 23:24:59
Essencialismo: A disciplinada busca por menos,"R$ 39,45",#49,books,Amazon,2024-11-17 23:24:59
As 48 leis do poder,"R$ 65,38",#50,books,Amazon,2024-11-17 23:24:59
As armas da persuasão: Como influenciar e não se deixar influenciar,"R$ 36,30",#51,books,Amazon,2024-11-17 23:25:20
O Príncipe - Edição de Luxo Almofadada,"R$ 19,17",#52,books,Amazon,2024-11-17 23:25:20
Um defeito de cor,"R$ 61,83",#53,books,Amazon,2024-11-17 23:25:20
"A coragem de ser imperfeito: Como aceitar a própria vulnerabilidade, vencer a vergonha e ousar ser quem você é","R$ 33,67",#54,books,Amazon,2024-11-17 23:25:20
As aventuras de priminha irritante no reino dos unicórnios: 1,"R$ 45,90",#55,books,Amazon,2024-11-17 23:25:20
Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,"R$ 31,65",#56,books,Amazon,2024-11-17 23:25:20
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 43,25",#57,books,Amazon,2024-11-17 23:25:21
Um dia muito mal-humorado,"R$ 20,69",#58,books,Amazon,2024-11-17 23:25:21
Box Trilogia O Senhor dos Anéis,"R$ 129,90",#59,books,Amazon,2024-11-17 23:25:21
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 31,58",#60,books,Amazon,2024-11-17 23:25:21
"Chama de Ferro: Edição Especial Limitada. Sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 98,36",#61,books,Amazon,2024-11-17 23:25:21
101 primeiros desenhos,"R$ 5,99",#62,books,Amazon,2024-11-17 23:25:21
Confissões de Santo Agostinho - Edição de Luxo Almofadada,"R$ 33,16",#63,books,Amazon,2024-11-17 23:25:21
A Menina do Outro Lado: 1,"R$ 27,28",#64,books,Amazon,2024-11-17 23:25:22
Não Começou com Você: Como o Trauma Familiar Herdado nos Define e Como dar um fim a Esse Ciclo,"R$ 36,50",#65,books,Amazon,2024-11-17 23:25:22
Elayne Baeta,"R$ 79,90",#66,books,Amazon,2024-11-17 23:25:22
Meu Livro Fofinho: Bíblia do Bebê,"R$ 10,00",#67,books,Amazon,2024-11-17 23:25:22
Verity (Edição de colecionador),"R$ 47,50",#68,books,Amazon,2024-11-17 23:25:22
Como se tornar sobrenatural: Pessoas comuns realizando o extraordinário,"R$ 32,90",#69,books,Amazon,2024-11-17 23:25:22
Nós: O Atlântico em solitário,"R$ 47,16",#70,books,Amazon,2024-11-17 23:25:23
Cleopatra e Frankenstein,"R$ 32,98",#71,books,Amazon,2024-11-17 23:25:23
Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora,"R$ 34,90",#72,books,Amazon,2024-11-17 23:25:23
"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro #2)","R$ 67,84",#73,books,Amazon,2024-11-17 23:25:23
Em agosto nos vemos,"R$ 44,83",#74,books,Amazon,2024-11-17 23:25:23
Divinos rivais (Sucesso no TikTok): 1- Idioma : Português,"R$ 31,80",#75,books,Amazon,2024-11-17 23:25:23
Livro-BOX divertido! Fazenda,"R$ 16,06",#76,books,Amazon,2024-11-17 23:25:23
A metamorfose: DIE VERWANDLUNG,"R$ 14,13",#77,books,Amazon,2024-11-17 23:25:24
Rachel Gillig,"R$ 59,90",#78,books,Amazon,2024-11-17 23:25:24
Jantar secreto,"R$ 38,98",#79,books,Amazon,2024-11-17 23:25:24
A Menina do Outro lado: Vol. 2,"R$ 51,90",#80,books,Amazon,2024-11-17 23:25:24
A paciente silenciosa,"R$ 39,90",#81,books,Amazon,2024-11-17 23:25:24
O segredo da empregada (A empregada – Livro 2),"R$ 39,45",#82,books,Amazon,2024-11-17 23:25:24
A fábrica de cretinos digitais: Os perigos das telas para nossas crianças (leia também Faça-os ler!),"R$ 54,36",#83,books,Amazon,2024-11-17 23:25:24
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 62,07",#84,books,Amazon,2024-11-17 23:25:25
Batman: a Piada Mortal,"R$ 26,90",#85,books,Amazon,2024-11-17 23:25:25
Aline Midlej,"R$ 54,90",#86,books,Amazon,2024-11-17 23:25:25
Coleção Aprenda com Diversão na Fazenda,"R$ 10,08",#87,books,Amazon,2024-11-17 23:25:25
As obras revolucionárias de George Orwell - Box com 3 livros,"R$ 27,40",#88,books,Amazon,2024-11-17 23:25:25
"Em Busca De Sentido: Um psicólogo no campo de concentração -o número de edições pode variar, mas o conteúdo é o mesmo","R$ 50,63",#89,books,Amazon,2024-11-17 23:25:25
Apostando no amor,"R$ 39,45",#90,books,Amazon,2024-11-17 23:25:25
Outlive: A arte e a ciência de viver mais e melhor,"R$ 52,63",#91,books,Amazon,2024-11-17 23:25:26
O livro das virtudes para crianças,"R$ 55,61",#92,books,Amazon,2024-11-17 23:25:26
Onde Está a Bluey?: Um Livro de Esconde-Esconde,"R$ 18,05",#93,books,Amazon,2024-11-17 23:25:26
Atlas Ilustrado da Bíblia - Um guia completo para compreender o contexto histórico e geográfico das Escrituras,"R$ 67,10",#94,books,Amazon,2024-11-17 23:25:26
Sociedade do cansaço,"R$ 29,36",#95,books,Amazon,2024-11-17 23:25:26
Olhos D'Água,"R$ 20,50",#96,books,Amazon,2024-11-17 23:25:26
Mindset: A nova psicologia do sucesso,"R$ 42,45",#97,books,Amazon,2024-11-17 23:25:27
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 48,22",#98,books,Amazon,2024-11-17 23:25:27
Torto arado,"R$ 47,67",#99,books,Amazon,2024-11-17 23:25:27
"Bíblia NVI, Capa Dura, Azul, Econômica, Tulipa","R$ 37,36",#100,books,Amazon,2024-11-17 23:25:27
