nome,preco,classificado,categoria,site,data_raspagem
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 44,90",#1,books,Amazon,2024-11-16 21:21:03
Depois daquele verão,"R$ 17,22",#2,books,Amazon,2024-11-16 21:21:03
Como fazer amigos e influenciar pessoas,"R$ 28,00",#3,books,Amazon,2024-11-16 21:21:04
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,33",#4,books,Amazon,2024-11-16 21:21:04
Manual de persuasão do FBI,"R$ 27,99",#5,books,Amazon,2024-11-16 21:21:04
Perigoso!,"R$ 13,80",#6,books,Amazon,2024-11-16 21:21:04
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,30",#7,books,Amazon,2024-11-16 21:21:04
A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,"R$ 40,82",#8,books,Amazon,2024-11-16 21:21:04
O Deus que destrói sonhos,"R$ 20,90",#9,books,Amazon,2024-11-16 21:21:04
Ainda estou aqui - O livro que deu origem ao filme,"R$ 54,33",#10,books,Amazon,2024-11-16 21:21:05
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 30,96",#11,books,Amazon,2024-11-16 21:21:05
#umdiasemreclamar: Descubra por que a gratidão pode mudar a sua vida,"R$ 43,25",#12,books,Amazon,2024-11-16 21:21:05
Um tempo pra mim: 10 minutos diários de autocuidado mental,"R$ 76,02",#13,books,Amazon,2024-11-16 21:21:05
"Pai Rico, pai Pobre: Edição de 20 Anos Atualizada e Ampliada","R$ 36,77",#14,books,Amazon,2024-11-16 21:21:05
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 33,05",#15,books,Amazon,2024-11-16 21:21:05
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 37,67",#16,books,Amazon,2024-11-16 21:21:05
500 adesivos Divertida Mente 2,"R$ 12,26",#17,books,Amazon,2024-11-16 21:21:05
O homem mais rico da Babilônia,"R$ 24,40",#18,books,Amazon,2024-11-16 21:21:06
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 33,04",#19,books,Amazon,2024-11-16 21:21:06
