nome,preco,classificado,categoria,site,data_raspagem
Verity,"R$ 25,38",#1,books,Amazon,2024-11-27 21:51:58
Assistente do Vilão (Sucesso no TikTok),"R$ 25,44",#2,books,Amazon,2024-11-27 21:51:58
É assim que começa (Vol. 2 É assim que acaba),"R$ 28,41",#3,books,Amazon,2024-11-27 21:51:58
Café com Deus Pai 2025: Porções Diárias de Transformação,"R$ 75,34",#4,books,Amazon,2024-11-27 21:51:58
O Hobbit + pôster,"R$ 29,43",#5,books,Amazon,2024-11-27 21:51:58
A hora da estrela: Edição comemorativa,"R$ 23,27",#6,books,Amazon,2024-11-27 21:51:58
O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),"R$ 29,41",#7,books,Amazon,2024-11-27 21:51:59
As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"R$ 39,45",#8,books,Amazon,2024-11-27 21:51:59
A Biblioteca da Meia-Noite,"R$ 30,64",#9,books,Amazon,2024-11-27 21:51:59
É Assim que Acaba: 1,"R$ 29,90",#10,books,Amazon,2024-11-27 21:51:59
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","R$ 26,00",#11,books,Amazon,2024-11-27 21:51:59
A paciente silenciosa,"R$ 28,44",#12,books,Amazon,2024-11-27 21:51:59
Aprendiz do Vilão,"R$ 29,35",#13,books,Amazon,2024-11-27 21:51:59
Ainda estou aqui - O livro que deu origem ao filme,"R$ 58,07",#14,books,Amazon,2024-11-27 21:52:00
Cem anos de solidão,"R$ 29,90",#15,books,Amazon,2024-11-27 21:52:00
Conhecendo os Sons da Fazenda. Vaquinha,"R$ 41,45",#16,books,Amazon,2024-11-27 21:52:00
A hipótese do amor,"R$ 29,13",#17,books,Amazon,2024-11-27 21:52:00
Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar (leia também Nação tarja preta),"R$ 36,68",#18,books,Amazon,2024-11-27 21:52:00
Fisher-Price - Kit Coleção Como é Bom,"R$ 29,78",#19,books,Amazon,2024-11-27 21:52:00
Um dia muito mal-humorado,"R$ 19,00",#20,books,Amazon,2024-11-27 21:52:00
Imperfeitos,"R$ 16,89",#21,books,Amazon,2024-11-27 21:52:00
Perigoso!,"R$ 14,90",#22,books,Amazon,2024-11-27 21:52:01
Essencialismo: A disciplinada busca por menos,"R$ 32,00",#23,books,Amazon,2024-11-27 21:52:01
Oração para Desaparecer,"R$ 30,80",#24,books,Amazon,2024-11-27 21:52:01
Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma : Português,"R$ 35,84",#25,books,Amazon,2024-11-27 21:52:01
Quebrando o hábito de ser você mesmo: Como reconstruir sua mente e criar um novo eu,"R$ 22,48",#26,books,Amazon,2024-11-27 21:52:01
Vai dar tudo certo,"R$ 23,59",#27,books,Amazon,2024-11-27 21:52:01
Como fazer amigos e influenciar pessoas,"R$ 31,64",#28,books,Amazon,2024-11-27 21:52:01
Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"R$ 25,70",#29,books,Amazon,2024-11-27 21:52:02
Melhor do que nos filmes,"R$ 34,90",#30,books,Amazon,2024-11-27 21:52:02
As 48 leis do poder: Edição concisa,"R$ 23,48",#31,books,Amazon,2024-11-27 21:52:02
O poder do subconsciente,"R$ 22,79",#32,books,Amazon,2024-11-27 21:52:02
Manual Diagnóstico e Estatístico de Transtornos Mentais - DSM-5-TR: Texto Revisado,"R$ 190,73",#33,books,Amazon,2024-11-27 21:52:02
Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,"R$ 41,36",#34,books,Amazon,2024-11-27 21:52:02
As obras revolucionárias de George Orwell - Box com 3 livros,"R$ 22,34",#35,books,Amazon,2024-11-27 21:52:03
O Deus que destrói sonhos,"R$ 20,90",#36,books,Amazon,2024-11-27 21:52:03
Antes que o café esfrie: 1,"R$ 23,56",#37,books,Amazon,2024-11-27 21:52:03
A cabeça do santo,"R$ 39,32",#38,books,Amazon,2024-11-27 21:52:03
Tudo é rio,"R$ 45,40",#39,books,Amazon,2024-11-27 21:52:03
Eu e Esse meu Coração,"R$ 25,06",#40,books,Amazon,2024-11-27 21:52:03
Quarta asa: 1,"R$ 54,53",#41,books,Amazon,2024-11-27 21:52:03
Outlive: A arte e a ciência de viver mais e melhor,"R$ 40,72",#42,books,Amazon,2024-11-27 21:52:04
A empregada (A empregada – Livro 1): Bem-vinda à família,"R$ 31,64",#43,books,Amazon,2024-11-27 21:52:04
Os sete maridos de Evelyn Hugo,"R$ 25,14",#44,books,Amazon,2024-11-27 21:52:04
Powerless: 1,"R$ 36,61",#45,books,Amazon,2024-11-27 21:52:04
Nada pode me ferir,"R$ 36,92",#46,books,Amazon,2024-11-27 21:52:04
Memórias do subsolo,"R$ 28,07",#47,books,Amazon,2024-11-27 21:52:04
Acolhendo sua criança interior: Uma abordagem inovadora para curar as feridas da infância,"R$ 30,49",#48,books,Amazon,2024-11-27 21:52:05
Aurora: O despertar da mulher exausta,"R$ 31,09",#49,books,Amazon,2024-11-27 21:52:05
Rápido e devagar: Duas formas de pensar,"R$ 40,47",#50,books,Amazon,2024-11-27 21:52:05
"Eu, meu pavio curto e Deus: Aprendendo a irar-se sem pecar","R$ 24,88",#51,books,Amazon,2024-11-27 21:52:26
"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro 2)","R$ 57,00",#52,books,Amazon,2024-11-27 21:52:26
Princípios milenares: 10 leis espirituais para uma vida de paz e prosperidade,"R$ 36,41",#53,books,Amazon,2024-11-27 21:52:26
Véspera,"R$ 32,21",#54,books,Amazon,2024-11-27 21:52:26
Onde Está a Bluey?: Um Livro de Esconde-Esconde,"R$ 14,29",#55,books,Amazon,2024-11-27 21:52:26
Pequena coreografia do adeus,"R$ 30,90",#56,books,Amazon,2024-11-27 21:52:27
Quem soltou o pum?,"R$ 19,89",#57,books,Amazon,2024-11-27 21:52:27
Cartas de um diabo a seu aprendiz,"R$ 27,55",#58,books,Amazon,2024-11-27 21:52:27
Em busca de mim,"R$ 26,58",#59,books,Amazon,2024-11-27 21:52:27
Coleção Especial Sherlock Holmes - Box com 6 livros,"R$ 45,68",#60,books,Amazon,2024-11-27 21:52:27
Cleopatra e Frankenstein,"R$ 30,96",#61,books,Amazon,2024-11-27 21:52:28
Sapiens (Nova edição): Uma breve história da humanidade,"R$ 35,99",#62,books,Amazon,2024-11-27 21:52:28
A natureza da mordida,"R$ 31,72",#63,books,Amazon,2024-11-27 21:52:28
Uma vida pequena,"R$ 59,51",#64,books,Amazon,2024-11-27 21:52:28
O corajoso pinguim,"R$ 17,20",#65,books,Amazon,2024-11-27 21:52:29
O homem mais rico da Babilônia,"R$ 23,34",#66,books,Amazon,2024-11-27 21:52:29
A revolução dos bichos: Um conto de fadas,"R$ 14,50",#67,books,Amazon,2024-11-27 21:52:29
