nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 280,31",#1,electronics,Amazon,2024-11-28 22:10:06
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 219,00",#2,electronics,Amazon,2024-11-28 22:10:06
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 249,00",#3,electronics,Amazon,2024-11-28 22:10:06
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Branca,"R$ 207,29",#4,electronics,Amazon,2024-11-28 22:10:06
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 229,00",#5,electronics,Amazon,2024-11-28 22:10:07
"Echo Show 5 (3ª geração - 2023) | Smart display com Alexa, graves 2x mais potentes e som mais nítido | Cor Preta","R$ 499,00",#6,electronics,Amazon,2024-11-28 22:10:07
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 67,90",#7,electronics,Amazon,2024-11-28 22:10:07
Apple iPhone 14 Plus (128 GB) – Meia-Noite,"R$ 4.394,51",#8,electronics,Amazon,2024-11-28 22:10:07
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Branca,"R$ 299,00",#9,electronics,Amazon,2024-11-28 22:10:07
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 67,90",#10,electronics,Amazon,2024-11-28 22:10:07
Adaptador de energia,"R$ 99,00",#11,electronics,Amazon,2024-11-28 22:10:07
Samsung Galaxy S23 Ultra 5G 256GB Tela 6.8'' 12GB RAM IP68 Processador Qualcomm Snapdragon 8 Gen 2 Câmera Quádrupla de até 200MP + Selfie 12MP - Preto,"R$ 4.776,67",#12,electronics,Amazon,2024-11-28 22:10:07
"Tablet Samsung Galaxy Tab S6 Lite (2024), 64GB, 4GB RAM, Tela Imersiva de 10.4', Câmera Traseira 8MP, Câmera frontal de 5MP, 4G, Android 14","R$ 1.689,00",#13,electronics,Amazon,2024-11-28 22:10:07
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Azul,"R$ 299,00",#14,electronics,Amazon,2024-11-28 22:10:08
Novo Echo Spot com Alexa (2024) | Despertador inteligente com som vibrante | Cor Preta,"R$ 449,00",#15,electronics,Amazon,2024-11-28 22:10:08
"Monitor Gamer AOC Hero 24"" 165Hz 1ms Ajuste de Altura 24G2S/BK","R$ 719,00",#16,electronics,Amazon,2024-11-28 22:10:08
"JBL, Fone de Ouvido in Ear, C50HI - Preto","R$ 41,90",#17,electronics,Amazon,2024-11-28 22:10:08
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Verde - Vegan Leather,"R$ 999,00",#18,electronics,Amazon,2024-11-28 22:10:08
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 126,65",#19,electronics,Amazon,2024-11-28 22:10:08
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 316,90",#20,electronics,Amazon,2024-11-28 22:10:08
Filtro de Linha Clamper Energia 5 Preto LCF,"R$ 57,99",#21,electronics,Amazon,2024-11-28 22:10:08
"EPSON EcoTank L1250 - Impressora, tanque de Tinta Colorida, Wi-Fi Direct, Comando de voz, Bivolt, Cor: Preto","R$ 799,00",#22,electronics,Amazon,2024-11-28 22:10:08
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"R$ 97,00",#23,electronics,Amazon,2024-11-28 22:10:09
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 29,00",#24,electronics,Amazon,2024-11-28 22:10:09
Pilha Alcalina AAA com 16 unidades Elgin Palito,"R$ 29,90",#25,electronics,Amazon,2024-11-28 22:10:09
"Novo Echo Show 8 (3ª geração) | Smart display com áudio espacial, hub de casa inteligente e Alexa | Cor Preta","R$ 999,00",#26,electronics,Amazon,2024-11-28 22:10:09
Filtro de Linha Clamper Energia 5 Transparente LCF,"R$ 56,25",#27,electronics,Amazon,2024-11-28 22:10:09
Duracell Pilha Moeda Cr 2032 Duracell Com 2 Unidades,"R$ 18,90",#28,electronics,Amazon,2024-11-28 22:10:09
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather,"R$ 999,00",#29,electronics,Amazon,2024-11-28 22:10:09
"ELG, GENIUS, Suporte Fixo Universal de Parede Para TVs de 14” a 100”, Capacidade até 100 kg, Padrão VESA de 75x75 a 800x400mm, Preto","R$ 34,90",#30,electronics,Amazon,2024-11-28 22:10:09
"JBL, Fone de Ouvido Sem Fio, Tune 520BT, Bluetooth - Azul","R$ 209,90",#31,electronics,Amazon,2024-11-28 22:10:09
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 989,00",#32,electronics,Amazon,2024-11-28 22:10:10
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Prata","R$ 279,90",#33,electronics,Amazon,2024-11-28 22:10:10
"I2GO, Fone De Ouvido, TWS, Bluetooth, 20 Horas totais de Bateria, ENC, Air Sound Go 2.0, Branco, i2GO PRO","R$ 119,94",#34,electronics,Amazon,2024-11-28 22:10:10
Filtro de Linha 4 Tomadas Elgin 2P+T 10A Preto Bivolt,"R$ 25,00",#35,electronics,Amazon,2024-11-28 22:10:10
"Samsung Smart TV 50"" Crystal UHD 4K 50DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2.279,00",#36,electronics,Amazon,2024-11-28 22:10:10
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black),"R$ 1.169,00",#37,electronics,Amazon,2024-11-28 22:10:10
"Galaxy Tab A9+ 5G, Grafite, Tela 11"", 64 GB, 4GB RAM, Câmera Frontal 5 MP Câmera Principal 8 MP","R$ 1.141,46",#38,electronics,Amazon,2024-11-28 22:10:10
"Notebook ASUS Vivobook 15, Intel Core i5 1235U, 8 GB, 512GB SSD, W11 Home, Tela 15,6"" FHD, Cool Silver - X1504ZA-NJ986W","R$ 3.111,00",#39,electronics,Amazon,2024-11-28 22:10:10
"Samsung T350 - Monitor Gamer, 24"", FHD, 75Hz, HDMI, VGA, Freesync, Preto","R$ 576,34",#40,electronics,Amazon,2024-11-28 22:10:11
"Monitor Gamer LG UltraGear 24” IPS, Full HD, 180Hz, 1ms (GtG), HDMI, DisplayPort, HDR10, sRGB 99%, NVIDIA® G-SYNC®, AMD FreeSync™ - 24GS60F-B","R$ 879,60",#41,electronics,Amazon,2024-11-28 22:10:11
DURACELL - Carregador de Pilhas Recarregáveis AA e AAA Com 4 Pilhas AA,"R$ 144,90",#42,electronics,Amazon,2024-11-28 22:10:11
"Fones de Ouvido QCY MeloBuds Pro, Fone Bluetooth com Cancelamento de Ruído Ativo, Certificação Hi-Res, 34 Horas De Reprodução, Preto (Preto)","R$ 237,15",#43,electronics,Amazon,2024-11-28 22:10:11
Samsung Galaxy S23 5G 256GB Tela 6.1'' 8GB RAM IP68 Processador Qualcomm Snapdragon 8 Gen 2 Câmera Tripla de até 50MP + Selfie 12MP - Preto,"R$ 3.599,00",#44,electronics,Amazon,2024-11-28 22:10:11
"Echo Show 5 (3ª geração - 2023) | Smart display com Alexa, graves 2x mais potentes e som mais nítido | Cor Branca","R$ 499,00",#45,electronics,Amazon,2024-11-28 22:10:11
"Samsung Galaxy Buds3 Pro, Fone de Ouvido sem fio,Alto-Falantes Duplos, Cancelamento Ativo de Ruído Inteligente, Áudio Hi-Fi, Áudio 360, Tradução Simultanêa com Galaxy AI, Equalizador Adaptativo, Cinza","R$ 1.969,00",#46,electronics,Amazon,2024-11-28 22:10:11
"JBL, Fone de Ouvido On ear, Tune 520BT - Preto","R$ 226,30",#47,electronics,Amazon,2024-11-28 22:10:11
Apple iPhone 13 (128 GB) - Luz das estrelas,"R$ 3.823,08",#48,electronics,Amazon,2024-11-28 22:10:12
Fone de Ouvido Philips com Microfone - Preto,"R$ 29,00",#49,electronics,Amazon,2024-11-28 22:10:12
Apple iPhone 15 (128 GB) — Preto,"R$ 5.135,40",#50,electronics,Amazon,2024-11-28 22:10:12
