nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 349,00",#1,electronics,Amazon,2024-11-20 20:49:26
"Caixa de Pilha AAA com 40 unidades Elgin Palito - Tubo, Zinco","R$ 29,00",#2,electronics,Amazon,2024-11-20 20:49:26
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 279,90",#3,electronics,Amazon,2024-11-20 20:49:26
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 279,00",#4,electronics,Amazon,2024-11-20 20:49:26
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 299,00",#5,electronics,Amazon,2024-11-20 20:49:26
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 67,90",#6,electronics,Amazon,2024-11-20 20:49:26
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#7,electronics,Amazon,2024-11-20 20:49:27
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 146,60",#8,electronics,Amazon,2024-11-20 20:49:27
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 TRANSPARENTE LCF,"R$ 57,99",#9,electronics,Amazon,2024-11-20 20:49:27
Fone de Ouvido Bluetooth JBL Tune 510BT Pure Bass Preto - JBLT510BTBLK,"R$ 189,00",#10,electronics,Amazon,2024-11-20 20:49:27
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 67,90",#11,electronics,Amazon,2024-11-20 20:49:27
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 989,00",#12,electronics,Amazon,2024-11-20 20:49:27
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 PRETO LCF,"R$ 57,99",#13,electronics,Amazon,2024-11-20 20:49:28
"JBL, Fone de Ouvido Sem Fio, Bluetooth, 510BT - Branco","R$ 189,00",#14,electronics,Amazon,2024-11-20 20:49:28
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black),"R$ 1.135,00",#15,electronics,Amazon,2024-11-20 20:49:28
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 29,00",#16,electronics,Amazon,2024-11-20 20:49:28
