nome,preco,classificado,categoria,site,data_raspagem
"Caixa de Pilha AAA com 40 unidades Elgin Palito - Tubo, Zinco","R$ 29,00",#1,electronics,Amazon,2024-11-18 22:21:40
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 349,00",#2,electronics,Amazon,2024-11-18 22:21:40
"JBL, Fone de Ouvido Sem Fio, Bluetooth, 510BT - Branco","R$ 189,00",#3,electronics,Amazon,2024-11-18 22:21:40
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 279,00",#4,electronics,Amazon,2024-11-18 22:21:40
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 67,90",#5,electronics,Amazon,2024-11-18 22:21:40
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 299,00",#6,electronics,Amazon,2024-11-18 22:21:40
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 TRANSPARENTE LCF,"R$ 59,24",#7,electronics,Amazon,2024-11-18 22:21:40
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#8,electronics,Amazon,2024-11-18 22:21:40
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 146,60",#9,electronics,Amazon,2024-11-18 22:21:41
"Caixa de Pilha AA com 40 unidades Elgin Palito - Tubo, Zinco","R$ 29,00",#10,electronics,Amazon,2024-11-18 22:21:41
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 67,90",#11,electronics,Amazon,2024-11-18 22:21:41
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black),"R$ 1.099,99",#12,electronics,Amazon,2024-11-18 22:21:41
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 PRETO LCF,"R$ 63,05",#13,electronics,Amazon,2024-11-18 22:21:41
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 29,00",#14,electronics,Amazon,2024-11-18 22:21:41
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Verde - Vegan Leather,"R$ 949,00",#15,electronics,Amazon,2024-11-18 22:21:41
"Panasonic UM-3SHS - Pilha Comum AA, Tensão 1,5 Volts, Embalagem com 4 pilhas","R$ 4,84",#16,electronics,Amazon,2024-11-18 22:21:42
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 369,00",#17,electronics,Amazon,2024-11-18 22:21:42
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"R$ 94,00",#18,electronics,Amazon,2024-11-18 22:21:42
Duracell Pilha Moeda Cr 2032 Duracell Com 2 Unidades,"R$ 18,90",#19,electronics,Amazon,2024-11-18 22:21:42
"Fones de ouvido sem fio BT para jogos,Fones de ouvido para jogos GM2 Pro BT Fones de ouvido sem fio BT 5.3 360° Surround Dual Mode Som Cancelamento de ruído","R$ 55,90",#20,electronics,Amazon,2024-11-18 22:21:42
"ELG, GENIUS, Suporte Fixo Universal de Parede Para TVs de 14” a 100”, Capacidade até 100 kg, Padrão VESA de 75x75 a 800x400mm, Preto","R$ 33,70",#21,electronics,Amazon,2024-11-18 22:21:42
Pilha recarregável AA 2700Mah Elgin Com 4 unidades Comum,"R$ 41,00",#22,electronics,Amazon,2024-11-18 22:21:42
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 1.070,10",#23,electronics,Amazon,2024-11-18 22:21:42
Smartphone Motorola Moto G24 8GB RAM Boost* 128GB Grafite,"R$ 759,30",#24,electronics,Amazon,2024-11-18 22:21:43
Apple iPhone 15 (128 GB) — Preto,"R$ 5.208,72",#25,electronics,Amazon,2024-11-18 22:21:43
Pilha Alcalina AAA com 16 unidades Elgin Palito,"R$ 34,51",#26,electronics,Amazon,2024-11-18 22:21:43
"JBL, Fone de Ouvido On ear, Tune 520BT - Preto","R$ 226,00",#27,electronics,Amazon,2024-11-18 22:21:43
"JBL, Fone de Ouvido in Ear, C50HI - Preto","R$ 47,31",#28,electronics,Amazon,2024-11-18 22:21:43
Pilha recarregável AAA 1000mAh Elgin com 4 unidades Palito,"R$ 24,00",#29,electronics,Amazon,2024-11-18 22:21:43
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather,"R$ 949,00",#30,electronics,Amazon,2024-11-18 22:21:43
"Galaxy Tab A9+ 5G, Grafite, Tela 11"", 64 GB, 4GB RAM, Câmera Frontal 5 MP Câmera Principal 8 MP","R$ 1.169,53",#31,electronics,Amazon,2024-11-18 22:21:44
"Smartphone Xiaomi POCO C65 8GB+256GB, azul","R$ 904,00",#32,electronics,Amazon,2024-11-18 22:21:44
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 319,00",#33,electronics,Amazon,2024-11-18 22:21:44
DURACELL - Carregador de Pilhas Recarregáveis AA e AAA Com 4 Pilhas AA,"R$ 152,90",#34,electronics,Amazon,2024-11-18 22:21:44
"Celular Samsung Galaxy A15 5G 256GB, 8GB RAM, Tela Infinita de 6.5"" Azul Claro","R$ 1.049,00",#35,electronics,Amazon,2024-11-18 22:21:44
"Basike Fone De Ouvido Sem Fio Bluetooth, TWS 4 Geração Fone Sem Fio Bluetooth, V5.3+EDR, True Wireless Estéreo Para Android e IOS","R$ 60,90",#36,electronics,Amazon,2024-11-18 22:21:44
Novo Echo Spot com Alexa (2024) | Despertador inteligente com som vibrante | Cor Preta,"R$ 479,00",#37,electronics,Amazon,2024-11-18 22:21:44
Pilha Alcalina AAA com 8 unidades Elgin Palito,"R$ 11,27",#38,electronics,Amazon,2024-11-18 22:21:45
