nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 349,00",#1,electronics,Amazon,2024-11-17 23:26:41
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 299,00",#2,electronics,Amazon,2024-11-17 23:26:41
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 279,00",#3,electronics,Amazon,2024-11-17 23:26:41
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#4,electronics,Amazon,2024-11-17 23:26:42
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 PRETO LCF,"R$ 63,05",#5,electronics,Amazon,2024-11-17 23:26:42
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 147,90",#6,electronics,Amazon,2024-11-17 23:26:42
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black),"R$ 1.119,90",#7,electronics,Amazon,2024-11-17 23:26:42
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 79,90",#8,electronics,Amazon,2024-11-17 23:26:42
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 369,00",#9,electronics,Amazon,2024-11-17 23:26:42
"Fones de ouvido sem fio BT para jogos,Fones de ouvido para jogos GM2 Pro BT Fones de ouvido sem fio BT 5.3 360° Surround Dual Mode Som Cancelamento de ruído","R$ 54,95",#10,electronics,Amazon,2024-11-17 23:26:42
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"R$ 105,97",#11,electronics,Amazon,2024-11-17 23:26:43
"ELG, GENIUS, Suporte Fixo Universal de Parede Para TVs de 14” a 100”, Capacidade até 100 kg, Padrão VESA de 75x75 a 800x400mm, Preto","R$ 29,88",#12,electronics,Amazon,2024-11-17 23:26:43
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 79,90",#13,electronics,Amazon,2024-11-17 23:26:43
"Monitor Gamer LG UltraGear 24” IPS, Full HD, 180Hz, 1ms (GtG), HDMI, DisplayPort, HDR10, sRGB 99%, NVIDIA® G-SYNC®, AMD FreeSync™ - 24GS60F-B","R$ 1.019,51",#14,electronics,Amazon,2024-11-17 23:26:43
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Verde - Vegan Leather,"R$ 949,00",#15,electronics,Amazon,2024-11-17 23:26:43
"JBL, Fone de Ouvido Sem Fio, Bluetooth, 510BT - Branco","R$ 189,00",#16,electronics,Amazon,2024-11-17 23:26:43
"Panasonic UM-3SHS - Pilha Comum AA, Tensão 1,5 Volts, Embalagem com 4 pilhas","R$ 4,84",#17,electronics,Amazon,2024-11-17 23:26:43
Duracell Pilha Moeda Cr 2032 Duracell Com 2 Unidades,"R$ 22,90",#18,electronics,Amazon,2024-11-17 23:26:43
Smartphone Motorola Moto G24 8GB RAM Boost* 128GB Grafite,"R$ 759,30",#19,electronics,Amazon,2024-11-17 23:26:44
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 315,00",#20,electronics,Amazon,2024-11-17 23:26:44
"Galaxy Tab A9+ 5G, Grafite, Tela 11"", 64 GB, 4GB RAM, Câmera Frontal 5 MP Câmera Principal 8 MP","R$ 1.169,53",#21,electronics,Amazon,2024-11-17 23:26:44
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 1.070,10",#22,electronics,Amazon,2024-11-17 23:26:44
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather,"R$ 949,00",#23,electronics,Amazon,2024-11-17 23:26:44
Pilha Alcalina AAA com 16 unidades Elgin Palito,"R$ 34,51",#24,electronics,Amazon,2024-11-17 23:26:44
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 36,40",#25,electronics,Amazon,2024-11-17 23:26:45
"JBL, Fone de Ouvido On ear, Tune 520BT - Preto","R$ 226,30",#26,electronics,Amazon,2024-11-17 23:26:45
Novo Echo Spot com Alexa (2024) | Despertador inteligente com som vibrante | Cor Preta,"R$ 479,00",#27,electronics,Amazon,2024-11-17 23:26:45
"JBL, Fone de Ouvido in Ear, C50HI - Preto","R$ 53,10",#28,electronics,Amazon,2024-11-17 23:26:45
"Celular Samsung Galaxy A15 5G 256GB, 8GB RAM, Tela Infinita de 6.5"" Azul Claro","R$ 1.049,00",#29,electronics,Amazon,2024-11-17 23:26:45
"Smartphone Xiaomi POCO C65 8GB+256GB, azul","R$ 902,90",#30,electronics,Amazon,2024-11-17 23:26:45
Pilha Alcalina AAA com 8 unidades Elgin Palito,"R$ 11,27",#31,electronics,Amazon,2024-11-17 23:26:45
"Roku Express | Dispositivo de streaming para TV HD/Full HD compatível com Alexa, Siri e Google. Inclui Cabo HDMI Premium","R$ 207,46",#32,electronics,Amazon,2024-11-17 23:26:45
Smartphone Motorola Moto G34 5G 8GB RAM Boost* 128GB Azul,"R$ 816,00",#33,electronics,Amazon,2024-11-17 23:26:45
Apple iPhone 13 (128 GB) - Luz das estrelas,"R$ 3.859,90",#34,electronics,Amazon,2024-11-17 23:26:46
Apple iPhone 15 (128 GB) — Preto,"R$ 5.208,72",#35,electronics,Amazon,2024-11-17 23:26:46
"Mini Projetor Portatil 5G Wifi 6 BT 5.0 Android 11, Projetor 4K 1080P Full HD Suporte 8000 Lumens, Projetor Led Auto de Correcção Trapezóide Horizontal, 180°Girável Projector para Telefónico","R$ 292,99",#36,electronics,Amazon,2024-11-17 23:26:46
BEARTAIN Fone de Ouvido XT60 Esportivo Bluetooth 5.3 Sem Fio TWS À Prova D'água HiFi Com Cancelamento De Ruído Microfone Para LED Display- preto,"R$ 79,97",#37,electronics,Amazon,2024-11-17 23:26:46
Antena de TV Interna UHF e HDTV AI 2025 Preto Intelbras,"R$ 34,90",#38,electronics,Amazon,2024-11-17 23:26:46
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 TRANSPARENTE LCF,"R$ 69,48",#39,electronics,Amazon,2024-11-17 23:26:46
Adaptador de energia,"R$ 99,00",#40,electronics,Amazon,2024-11-17 23:26:46
Pilha Alcalina AA Elgin com 4 unidades Comum,"R$ 6,29",#41,electronics,Amazon,2024-11-17 23:26:46
DURACELL - Carregador de Pilhas Recarregáveis AA e AAA Com 4 Pilhas AA,"R$ 159,90",#42,electronics,Amazon,2024-11-17 23:26:47
"DUX HUMAN HEALTH - Whey Protein Concentrado - 20g de Proteínas por Porção - Suplementos Naturais, Suplementação Treino Academia, Ganho Muscular Hipertrofia - Doce de Leite - 900g","R$ 132,47",#43,electronics,Amazon,2024-11-17 23:26:47
"Fone de ouvido sem fio TWS Philips TAT1108BK/00 - bluetooth com microfone, formato em haste, IPX4, energia para 15 horas totais e na cor preto","R$ 115,80",#44,electronics,Amazon,2024-11-17 23:26:47
