nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 349,00",#1,electronics,Amazon,2024-11-16 21:24:24
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 299,00",#2,electronics,Amazon,2024-11-16 21:24:25
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 279,00",#3,electronics,Amazon,2024-11-16 21:24:25
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#4,electronics,Amazon,2024-11-16 21:24:25
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Black),"R$ 1.119,90",#5,electronics,Amazon,2024-11-16 21:24:25
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 147,90",#6,electronics,Amazon,2024-11-16 21:24:25
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 70,90",#7,electronics,Amazon,2024-11-16 21:24:25
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 322,19",#8,electronics,Amazon,2024-11-16 21:24:26
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 369,00",#9,electronics,Amazon,2024-11-16 21:24:26
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"R$ 104,99",#10,electronics,Amazon,2024-11-16 21:24:26
"ELG, GENIUS, Suporte Fixo Universal de Parede Para TVs de 14” a 100”, Capacidade até 100 kg, Padrão VESA de 75x75 a 800x400mm, Preto","R$ 27,19",#11,electronics,Amazon,2024-11-16 21:24:26
"Fones de ouvido sem fio BT para jogos,Fones de ouvido para jogos GM2 Pro BT Fones de ouvido sem fio BT 5.3 360° Surround Dual Mode Som Cancelamento de ruído","R$ 53,90",#12,electronics,Amazon,2024-11-16 21:24:26
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Verde - Vegan Leather,"R$ 949,00",#13,electronics,Amazon,2024-11-16 21:24:26
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 70,90",#14,electronics,Amazon,2024-11-16 21:24:26
"Monitor Gamer LG UltraGear 24” IPS, Full HD, 180Hz, 1ms (GtG), HDMI, DisplayPort, HDR10, sRGB 99%, NVIDIA® G-SYNC®, AMD FreeSync™ - 24GS60F-B","R$ 879,60",#15,electronics,Amazon,2024-11-16 21:24:26
FILTRO DE LINHA DPS ICLAMPER ENERGIA 5 PRETO LCF,"R$ 63,05",#16,electronics,Amazon,2024-11-16 21:24:26
Fone de Ouvido Bluetooth JBL Tune 510BT Pure Bass Preto - JBLT510BTBLK,"R$ 260,00",#17,electronics,Amazon,2024-11-16 21:24:26
"Panasonic UM-3SHS - Pilha Comum AA, Tensão 1,5 Volts, Embalagem com 4 pilhas","R$ 4,84",#18,electronics,Amazon,2024-11-16 21:24:27
Smartphone Motorola Moto G24 8GB RAM Boost* 128GB Grafite,"R$ 759,30",#19,electronics,Amazon,2024-11-16 21:24:27
"Galaxy Tab A9+ 5G, Grafite, Tela 11"", 64 GB, 4GB RAM, Câmera Frontal 5 MP Câmera Principal 8 MP","R$ 1.169,56",#20,electronics,Amazon,2024-11-16 21:24:27
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 1.070,10",#21,electronics,Amazon,2024-11-16 21:24:27
"JBL, Fone de Ouvido Sem Fio, Bluetooth, 510BT - Branco","R$ 189,00",#22,electronics,Amazon,2024-11-16 21:24:27
Duracell Pilha Moeda Cr 2032 Duracell Com 2 Unidades,"R$ 20,90",#23,electronics,Amazon,2024-11-16 21:24:27
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Vanilla - Vegan Leather,"R$ 949,00",#24,electronics,Amazon,2024-11-16 21:24:27
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 36,40",#25,electronics,Amazon,2024-11-16 21:24:27
