nome,preco,classificado,categoria,site,data_raspagem
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Preta,"R$ 280,31",#1,electronics,Amazon,2024-11-24 21:47:15
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Preta,"R$ 219,00",#2,electronics,Amazon,2024-11-24 21:47:15
"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD","R$ 249,00",#3,electronics,Amazon,2024-11-24 21:47:15
Echo Pop | Smart speaker compacto com som envolvente e Alexa | Cor Branca,"R$ 207,29",#4,electronics,Amazon,2024-11-24 21:47:15
Fire TV Stick Lite | Streaming em Full HD com Alexa | Com Controle Remoto Lite por Voz com Alexa (sem controles de TV),"R$ 229,00",#5,electronics,Amazon,2024-11-24 21:47:16
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Branca,"R$ 299,00",#6,electronics,Amazon,2024-11-24 21:47:16
Echo Dot 5ª geração | O Echo Dot com o melhor som já lançado | Cor Azul,"R$ 299,00",#7,electronics,Amazon,2024-11-24 21:47:16
"Smartwatch Samsung Galaxy Fit3 Display 1.6"" Grafite","R$ 316,90",#8,electronics,Amazon,2024-11-24 21:47:16
Apple iPhone 14 Plus (128 GB) – Meia-Noite,"R$ 4.394,51",#9,electronics,Amazon,2024-11-24 21:47:16
Duracell Pilha Alcalina Aa Pequena Duracell Com 16 Unidades,"R$ 79,20",#10,electronics,Amazon,2024-11-24 21:47:16
Novo Echo Spot com Alexa (2024) | Despertador inteligente com som vibrante | Cor Preta,"R$ 449,00",#11,electronics,Amazon,2024-11-24 21:47:16
"DURACELL - Pilha Alcalina AAA, Palito com 16 unidades","R$ 67,90",#12,electronics,Amazon,2024-11-24 21:47:17
"Pilha Alcalina, Elgin, Palito AAA, Blister com 4","R$ 6,66",#13,electronics,Amazon,2024-11-24 21:47:17
"Fujifilm Instax Mini - Filme Com 40 Fotos, Borda Branca, Foto Colorida","R$ 147,90",#14,electronics,Amazon,2024-11-24 21:47:17
"JBL, Fone de Ouvido in Ear, C50HI - Preto","R$ 41,90",#15,electronics,Amazon,2024-11-24 21:47:17
"Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto","R$ 989,00",#16,electronics,Amazon,2024-11-24 21:47:17
Headphone Philips bluetooth on-ear com microfone e energia para 15 horas na cor preto TAH1108BK/55,"R$ 90,80",#17,electronics,Amazon,2024-11-24 21:47:17
"Novo Echo Show 8 (3ª geração) | Smart display com áudio espacial, hub de casa inteligente e Alexa | Cor Preta","R$ 999,00",#18,electronics,Amazon,2024-11-24 21:47:17
Pilha Alcalina AA com 16 unidades Elgin Comum,"R$ 29,00",#19,electronics,Amazon,2024-11-24 21:47:17
Samsung Galaxy S23 5G 256GB Tela 6.1'' 8GB RAM IP68 Processador Qualcomm Snapdragon 8 Gen 2 Câmera Tripla de até 50MP + Selfie 12MP - Preto,"R$ 3.123,96",#20,electronics,Amazon,2024-11-24 21:47:18
DURACELL - Carregador de Pilhas Recarregáveis AA e AAA Com 4 Pilhas AA,"R$ 149,90",#21,electronics,Amazon,2024-11-24 21:47:18
Smartphone Motorola Moto G34 5G 256GB 8GB RAM + 8GB RAM Boost Verde - Vegan Leather,"R$ 949,00",#22,electronics,Amazon,2024-11-24 21:47:18
"Caixa de Pilha AAA com 40 unidades Elgin Palito - Tubo, Zinco","R$ 29,00",#23,electronics,Amazon,2024-11-24 21:47:18
Filtro de Linha Clamper Energia 5 Transparente LCF,"R$ 57,99",#24,electronics,Amazon,2024-11-24 21:47:18
Duracell Pilha Moeda Cr 2032 Duracell Com 2 Unidades,"R$ 18,90",#25,electronics,Amazon,2024-11-24 21:47:18
Pilha recarregável AA 2700Mah Elgin Com 4 unidades Comum,"R$ 41,00",#26,electronics,Amazon,2024-11-24 21:47:18
Fone de ouvido sem fio QCY T13 TWS Bluetooth 5.1 com 4 microfones Touch Control IPX5 à prova d'água 40 horas de tempo de reprodução,"R$ 126,65",#27,electronics,Amazon,2024-11-24 21:47:19
Pilha recarregável AAA 1000mAh Elgin com 4 unidades Palito,"R$ 24,00",#28,electronics,Amazon,2024-11-24 21:47:19
